Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"SPSS for Starters and 2nd Levelers","","","","","10.1007/978-3-319-20600-4","Ton J. CleophasAeilko H. Zwinderman","2016","http://link.springer.com/book/10.1007/978-3-319-20600-4","Book"
"Readings in Formal Epistemology","Springer Graduate Texts in Philosophy","","","","10.1007/978-3-319-20451-2","Horacio Arló-CostaVincent F. HendricksJohan van Benthem","2016","http://link.springer.com/book/10.1007/978-3-319-20451-2","Book"
"Air Pollution and Greenhouse Gases","Green Energy and Technology","","","","10.1007/978-981-287-212-8","Zhongchao Tan","2014","http://link.springer.com/book/10.1007/978-981-287-212-8","Book"
"Introduction to Data Science","Undergraduate Topics in Computer Science","","","","10.1007/978-3-319-50017-1","Laura IgualSanti Seguí","2017","http://link.springer.com/book/10.1007/978-3-319-50017-1","Book"
"Biologische Psychologie","Springer-Lehrbuch","","","","10.1007/978-3-540-95938-0","Professor Dr. Dr. h.c. Niels BirbaumerProfessor em. Dr. med. D.Sc. h.c. Robert F. Schmidt Ph.D.","2010","http://link.springer.com/book/10.1007/978-3-540-95938-0","Book"
"The ASCRS Textbook of Colon and Rectal Surgery","","","","","10.1007/978-3-319-25970-3","Dr. Scott R. SteeleMD Tracy L. HullDr. Thomas E. ReadMD Theodore J. SaclaridesMD Anthony J. SenagoreCharles B. Whitlow","2016","http://link.springer.com/book/10.1007/978-3-319-25970-3","Book"
"Mathematik","","","","","10.1007/978-3-662-56741-8","Dr. Tilo ArensDr. Frank HettlichProf. Dr. Christian KarpfingerProf. Dr. Ulrich KockelkornDr. Klaus LichteneggerProf. Dr. Hellmuth Stachel","2018","http://link.springer.com/book/10.1007/978-3-662-56741-8","Book"
"Guide to Scientific Computing in C++","Undergraduate Topics in Computer Science","","","","10.1007/978-3-319-73132-2","Dr. Joe Pitt-FrancisProf. Jonathan Whiteley","2017","http://link.springer.com/book/10.1007/978-3-319-73132-2","Book"
"Arbeits- und Organisationspsychologie","Springer-Lehrbuch","","","","10.1007/978-3-642-41130-4","Friedemann W. NerdingerGerhard BlickleNiclas Schaper","2014","http://link.springer.com/book/10.1007/978-3-642-41130-4","Book"
"Arbeitsbuch Mathematik","","","","","10.1007/978-3-662-56750-0","Dr. Tilo ArensDr. Frank HettlichProf. Dr. Christian KarpfingerProf. Dr. Ulrich KockelkornDr. Klaus LichteneggerProf. Dr. Hellmuth Stachel","2018","http://link.springer.com/book/10.1007/978-3-662-56750-0","Book"
"Theoretische Physik","","","","","10.1007/978-3-642-54618-1","Matthias BartelmannBjörn FeuerbacherTimm KrügerDieter LüstAnton RebhanAndreas Wipf","2015","http://link.springer.com/book/10.1007/978-3-642-54618-1","Book"
"Pharmakologie und Toxikologie","Springer-Lehrbuch","","","","10.1007/978-3-662-46689-6","Prof. Dr. med. Michael FreissmuthProf. Dr. med. Stefan OffermannsUniv.-Prof. Dr. med. Stefan Böhm","2016","http://link.springer.com/book/10.1007/978-3-662-46689-6","Book"
"Introduction to Parallel Computing","Undergraduate Topics in Computer Science","","","","10.1007/978-3-319-98833-7","Dr. Roman TrobecProf. Boštjan SlivnikProf. Patricio BulićProf. Borut Robič","2018","http://link.springer.com/book/10.1007/978-3-319-98833-7","Book"
"Essentials of Cerebellum and Cerebellar Disorders","","","","","10.1007/978-3-319-24551-5","Donna L. GruolNoriyuki KoibuchiMario MantoMarco MolinariJeremy D. SchmahmannYing Shen","2016","http://link.springer.com/book/10.1007/978-3-319-24551-5","Book"
"Statistik für Human- und Sozialwissenschaftler","Springer-Lehrbuch","","","","10.1007/978-3-642-12770-0","Prof. Dr. Jürgen BortzProf. Dr. Christof Schuster","2010","http://link.springer.com/book/10.1007/978-3-642-12770-0","Book"
"The Physics of Semiconductors","Graduate Texts in Physics","","","","10.1007/978-3-319-23880-7","Marius Grundmann","2016","http://link.springer.com/book/10.1007/978-3-319-23880-7","Book"
"Physiologie des Menschen","Springer-Lehrbuch","","","","10.1007/978-3-642-01651-6","Dr.h.c. Robert F Schmidt Ph.DDr. Florian LangDr. Manfred Heckmann","2011","http://link.springer.com/book/10.1007/978-3-642-01651-6","Book"
"Regression Modeling Strategies","Springer Series in Statistics","","","","10.1007/978-3-319-19425-7","Frank E. Harrell , Jr.","2015","http://link.springer.com/book/10.1007/978-3-319-19425-7","Book"
"Algebra","Graduate Texts in Mathematics","","","","10.1007/978-1-4613-0041-0","Serge Lang","2002","http://link.springer.com/book/10.1007/978-1-4613-0041-0","Book"
"An Introduction to Soil Mechanics","Theory and Applications of Transport in Porous Media","","","","10.1007/978-3-319-61185-3","Prof. Dr. Arnold Verruijt","2018","http://link.springer.com/book/10.1007/978-3-319-61185-3","Book"
"Klinische Psychologie & Psychotherapie","Springer-Lehrbuch","","","","10.1007/978-3-642-13018-2","Professor Dr. Hans-Ulrich WittchenProfessor Dr. Jürgen Hoyer","2011","http://link.springer.com/book/10.1007/978-3-642-13018-2","Book"
"Computational Physics","Graduate Texts in Physics","","","","10.1007/978-3-319-61088-7","Prof. Dr. Philipp O.J. Scherer","2017","http://link.springer.com/book/10.1007/978-3-319-61088-7","Book"
"Methods of Mathematical Modelling","Springer Undergraduate Mathematics Series","","","","10.1007/978-3-319-23042-9","Thomas WitelskiMark Bowen","2015","http://link.springer.com/book/10.1007/978-3-319-23042-9","Book"
"Löffler/Petrides Biochemie und Pathobiochemie","Springer-Lehrbuch","","","","10.1007/978-3-642-17972-3","Prof. Dr. Peter C. HeinrichProf. Dr. Matthias MüllerProf. Dr. Lutz Graeve","2014","http://link.springer.com/book/10.1007/978-3-642-17972-3","Book"
"Handbook of Sociological Theory","Handbooks of Sociology and Social Research","","","","10.1007/0-387-36274-6","Jonathan H. Turner","2001","http://link.springer.com/book/10.1007/0-387-36274-6","Book"
"Handbook of the Sociology of Gender","Handbooks of Sociology and Social Research","","","","10.1007/0-387-36218-5","Janet Saltzman Chafetz","2006","http://link.springer.com/book/10.1007/0-387-36218-5","Book"
"Basics of Laser Physics","Graduate Texts in Physics","","","","10.1007/978-3-319-50651-7","Karl F. Renk","2017","http://link.springer.com/book/10.1007/978-3-319-50651-7","Book"
"A Modern Introduction to Probability and Statistics","Springer Texts in Statistics","","","","10.1007/1-84628-168-7","Frederik Michel DekkingCornelis KraaikampHendrik Paul LopuhaäLudolf Erwin Meester","2005","http://link.springer.com/book/10.1007/1-84628-168-7","Book"
"Handbook of the Life Course","Handbooks of Sociology and Social Research","","","","10.1007/b100507","Jeylan T. MortimerMichael J. Shanahan","2003","http://link.springer.com/book/10.1007/b100507","Book"
"Statistical Mechanics for Engineers","","","","","10.1007/978-3-319-13809-1","Isamu Kusaka","2015","http://link.springer.com/book/10.1007/978-3-319-13809-1","Book"
"Social Anxiety and Social Phobia in Youth","Series in Anxiety and Related Disorders","","","","10.1007/b99417","Christopher A. Kearney","2005","http://link.springer.com/book/10.1007/b99417","Book"
"Intuitive Probability and Random Processes Using MATLAB®","","","","","10.1007/b104645","Steven M. Kay","2006","http://link.springer.com/book/10.1007/b104645","Book"
"Fundamentals of Power Electronics","","","","","10.1007/b100747","Robert W. EricksonDragan Maksimović","2001","http://link.springer.com/book/10.1007/b100747","Book"
"Discrete Mathematics","Undergraduate Texts in Mathematics","","","","10.1007/b97469","L. LovászJ. PelikánK. Vesztergombi","2003","http://link.springer.com/book/10.1007/b97469","Book"
"Verhaltensbiologie","","","","","10.1007/978-3-662-53145-7","Peter Kappeler","2017","http://link.springer.com/book/10.1007/978-3-662-53145-7","Book"
"Analysis 2","Grundkurs Mathematik","","","","10.1007/978-3-658-19411-6","Prof. Dr. Otto Forster","2017","http://link.springer.com/book/10.1007/978-3-658-19411-6","Book"
